filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails,correct,error,total
smartbugs-curated/dataset/access_control/arbitrary_location_write_simple.sol,arbitrary_location_write_simple.sol,securify,solidity,2022/11/17,20241221_0717,1734765840,28.94913125,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/access_control/FibonacciBalance.sol,FibonacciBalance.sol,securify,solidity,2022/11/17,20241221_0717,1734765846,114.0935383,0,{MissingInputValidation},{},{},{},0,1,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name1.sol,incorrect_constructor_name1.sol,securify,solidity,2022/11/17,20241221_0717,1734765623,32.42199636,0,"{TODAmount,TODReceiver,TODTransfer}",{},{},{},0,1,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name2.sol,incorrect_constructor_name2.sol,securify,solidity,2022/11/17,20241221_0717,1734765635,25.82524419,0,"{TODAmount,TODReceiver,TODTransfer}",{},{},{},0,1,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name3.sol,incorrect_constructor_name3.sol,securify,solidity,2022/11/17,20241221_0717,1734765533,21.0847249,0,"{TODAmount,TODReceiver,TODTransfer}",{},{},{},0,1,1
smartbugs-curated/dataset/access_control/mapping_write.sol,mapping_write.sol,securify,solidity,2022/11/17,20241221_0717,1734765631,43.06340861,0,{TODAmount},{},{},{},0,1,1
smartbugs-curated/dataset/access_control/multiowned_vulnerable.sol,multiowned_vulnerable.sol,securify,solidity,2022/11/17,20241221_0717,1734765442,264.9296725,0,"{MissingInputValidation,TODAmount}",{},{},{},0,2,2
smartbugs-curated/dataset/access_control/mycontract.sol,mycontract.sol,securify,solidity,2022/11/17,20241221_0717,1734765989,16.1107614,0,"{MissingInputValidation,UnrestrictedEtherFlow}",{},{},{},1,1,2
smartbugs-curated/dataset/access_control/parity_wallet_bug_2.sol,parity_wallet_bug_2.sol,securify,solidity,2022/11/17,20241221_0717,1734765837,225.116688,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/access_control/phishable.sol,phishable.sol,securify,solidity,2022/11/17,20241221_0717,1734765960,23.34920406,0,"{MissingInputValidation,TODAmount}",{},{},{},0,2,2
smartbugs-curated/dataset/access_control/proxy.sol,proxy.sol,securify,solidity,2022/11/17,20241221_0717,1734765442,43.14693737,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/access_control/rubixi.sol,rubixi.sol,securify,solidity,2022/11/17,20241221_0717,1734766091,159.8532014,0,"{DAOConstantGas,MissingInputValidation,TODAmount,TODReceiver,TODTransfer,UnhandledException}",{},{},{},0,3,3
smartbugs-curated/dataset/access_control/simple_suicide.sol,simple_suicide.sol,securify,solidity,2022/11/17,20241221_0717,1734765442,12.40885973,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/access_control/unprotected0.sol,unprotected0.sol,securify,solidity,2022/11/17,20241221_0717,1734765922,19.72002172,0,{MissingInputValidation},{},{},{},0,1,1
smartbugs-curated/dataset/access_control/wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,securify,solidity,2022/11/17,20241221_0717,1734765524,100.8551967,0,"{DAOConstantGas,MissingInputValidation,TODAmount}",{},{},{},0,3,3
smartbugs-curated/dataset/access_control/wallet_03_wrong_constructor.sol,wallet_03_wrong_constructor.sol,securify,solidity,2022/11/17,20241221_0717,1734765648,72.70499468,0,"{DAOConstantGas,MissingInputValidation,TODAmount,TODTransfer}",{},{},{},0,3,3
smartbugs-curated/dataset/access_control/wallet_04_confused_sign.sol,wallet_04_confused_sign.sol,securify,solidity,2022/11/17,20241221_0717,1734765518,86.26400661,0,"{DAOConstantGas,MissingInputValidation,TODAmount}",{},{},{},0,3,3
smartbugs-curated/dataset/arithmetic/BECToken.sol,BECToken.sol,securify,solidity,2022/11/17,20241221_0717,1734765929,276.7878294,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/arithmetic/insecure_transfer.sol,insecure_transfer.sol,securify,solidity,2022/11/17,20241221_0717,1734765488,45.17921662,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_1.sol,integer_overflow_1.sol,securify,solidity,2022/11/17,20241221_0717,1734765525,22.58036518,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_add.sol,integer_overflow_add.sol,securify,solidity,2022/11/17,20241221_0717,1734765629,25.84372568,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_benign_1.sol,integer_overflow_benign_1.sol,securify,solidity,2022/11/17,20241221_0717,1734765968,24.54888749,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/arithmetic/integer_overflow_mapping_sym_1.sol,integer_overflow_mapping_sym_1.sol,securify,solidity,2022/11/17,20241221_0717,1734765807,29.64837646,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_minimal.sol,integer_overflow_minimal.sol,securify,solidity,2022/11/17,20241221_0717,1734765616,18.94940162,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_mul.sol,integer_overflow_mul.sol,securify,solidity,2022/11/17,20241221_0717,1734765902,22.58278704,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_multifunc_feasible.sol,integer_overflow_multitx_multifunc_feasible.sol,securify,solidity,2022/11/17,20241221_0717,1734766093,17.34820509,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_onefunc_feasible.sol,integer_overflow_multitx_onefunc_feasible.sol,securify,solidity,2022/11/17,20241221_0717,1734765498,23.31319523,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/overflow_simple_add.sol,overflow_simple_add.sol,securify,solidity,2022/11/17,20241221_0717,1734765697,15.87607241,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/overflow_single_tx.sol,overflow_single_tx.sol,securify,solidity,2022/11/17,20241221_0717,1734765442,56.05346751,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/timelock.sol,timelock.sol,securify,solidity,2022/11/17,20241221_0717,1734765440,94.79208827,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/token.sol,token.sol,securify,solidity,2022/11/17,20241221_0717,1734766087,33.91535497,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/arithmetic/tokensalechallenge.sol,tokensalechallenge.sol,securify,solidity,2022/11/17,20241221_0717,1734765442,83.00029755,0,{MissingInputValidation},{},{},{},1,0,1
smartbugs-curated/dataset/bad_randomness/blackjack.sol,blackjack.sol,securify,solidity,2022/11/17,20241221_0717,1734765655,273.0245075,0,{DAOConstantGas},{},{},{},0,1,1
smartbugs-curated/dataset/bad_randomness/etheraffle.sol,etheraffle.sol,securify,solidity,2022/11/17,20241221_0717,1734765846,50.86267519,0,{TODReceiver},{},{},{},0,1,1
smartbugs-curated/dataset/bad_randomness/guess_the_random_number.sol,guess_the_random_number.sol,securify,solidity,2022/11/17,20241221_0717,1734766030,29.14710402,0,{UnrestrictedEtherFlow},{},{},{},0,1,1
smartbugs-curated/dataset/bad_randomness/lottery.sol,lottery.sol,securify,solidity,2022/11/17,20241221_0717,1734765535,41.79734087,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/bad_randomness/lucky_doubler.sol,lucky_doubler.sol,securify,solidity,2022/11/17,20241221_0717,1734765583,45.54258132,0,"{DAOConstantGas,TODAmount,TODReceiver,UnhandledException}",{},{},{},0,3,3
smartbugs-curated/dataset/bad_randomness/old_blockhash.sol,old_blockhash.sol,securify,solidity,2022/11/17,20241221_0717,1734766096,67.2338748,0,{MissingInputValidation},{},{},{},0,1,1
smartbugs-curated/dataset/bad_randomness/random_number_generator.sol,random_number_generator.sol,securify,solidity,2022/11/17,20241221_0717,1734766044,3.378932476,0,{},{},{},{},0,0,0
smartbugs-curated/dataset/bad_randomness/smart_billions.sol,smart_billions.sol,securify,solidity,2022/11/17,20241221_0717,1734765743,386.8591263,0,"{DAOConstantGas,TODAmount}",{},{},{},0,2,2
smartbugs-curated/dataset/denial_of_service/auction.sol,auction.sol,securify,solidity,2022/11/17,20241221_0717,1734765554,15.27344942,0,"{TODAmount,TODReceiver,TODTransfer}",{},{},{},0,1,1
